CensusBlock     ReturnPeriodId TotalLoss
220710006043021 10             69
220710006043021 25             69
220710006043021 50             71
220710006043021 100            73
220710006043021 500            74
220710006043023 10             82
220710006043023 25             82
220710006043023 100            87
220710006043023 50             87
220710006043023 500            90
220710006051010 10             446
220710006051010 25             446
220710006051010 50             497
220710006051010 100            655
220710006051011 10             172
220710006051011 25             172
220710006051011 50             319
220710006051011 100            341
220710006051013 10             199
220710006051013 25             199
220710006051013 50             251
220710006051013 100            269
220710006051017 10             240
220710006051017 25             240
220710006051017 50             461
220710006051017 100            500
220710006051019 10             286
220710006051019 25             286
220710006051019 50             676
220710006051019 100            707
220710006051020 10             139
220710006051020 25             139
220710006051020 50             264
220710006051020 100            286
220710006051022 10             188
220710006051022 25             188
220710006051022 50             228
220710006051022 100            236
220710006051023 10             837
220710006051023 25             837
220710006051023 50             1142
220710006051023 100            1158
220710006051028 10             322
220710006051028 25             322
220710006052004 10             2
220710006052004 25             2
220710006052004 50             12
220710006052004 100            15
220710006052005 10             365
220710006052005 25             365
220710006052005 50             690
220710006052005 100            759
220710006052009 10             192
220710006052009 25             192
220710006052009 50             294
220710006052009 100            320
220710006052010 10             48
220710006052010 25             48
220710006052010 50             130
220710006052010 100            139
220710006052013 10             101
220710006052013 25             101
220710006052013 50             158
220710006052013 100            173
220710006052014 10             292
220710006052014 25             292
220710006052014 50             362
220710006052014 100            368
220710006052015 10             278
220710006052015 25             278
220710006052015 50             306
220710006052015 100            340
220710006053002 50             238
220710006053002 100            323
220710006053009 10             15
220710006053009 25             15
220710006053009 50             49
220710006053009 100            88
220710006053013 50             73
220710006053013 100            158
220710006053014 50             108
220710006053014 100            158
220710006053016 50             168
220710006053016 100            305
220710006053025 10             117
220710006053025 25             117
220710006053025 50             234
220710006053025 100            269
220710006053026 10             1129
220710006053026 25             1129
220710006053026 50             1636
220710006053026 100            1820
220710006053029 10             55
220710006053029 25             55
220710006053029 50             99
220710006053029 100            108
220710006053030 10             114
220710006053030 25             114
220710006053030 50             184
220710006053030 100            204
220710006053045 10             21
220710006053045 25             21
220710006053045 50             33
220710006053045 100            35
220710006053048 10             169
220710006053048 25             169
220710006053048 50             250
220710006053048 100            269
220710006053052 10             23
220710006053052 25             23
220710006053052 50             56
220710006053052 100            69
220710006053057 10             59
220710006053057 25             59
220710006053057 50             82
220710006053057 100            92
220710006061001 10             72
220710006061001 25             72
220710006061001 50             105
220710006061001 100            142
220710006061002 10             113
220710006061002 25             113
220710006061002 50             230
220710006061002 100            274
220710006061003 10             692
220710006061003 25             692
220710006061003 50             1000
220710006061003 100            1052
220710006061008 10             502
220710006061008 25             502
220710006061008 50             780
220710006061008 100            900
220710006061009 10             1013
220710006061009 25             1013
220710006061009 50             1386
220710006061009 100            1519
220710006061014 10             799
220710006061014 25             799
220710006061014 50             1413
220710006061014 100            1553
220710006061015 10             39
220710006061015 25             39
220710006061015 50             130
220710006061015 100            193
220710006061016 10             801
220710006061016 25             801
220710006061016 50             993
220710006061016 100            1049
220710006061018 10             234
220710006061018 25             234
220710006061018 50             266
220710006061018 100            274
220710006061018 500            297
220710006061019 10             112
220710006061019 25             112
220710006061019 50             150
220710006061019 100            153
220710006061019 500            173
220710006061020 10             635
220710006061020 25             635
220710006061020 50             710
220710006061020 100            720
220710006061021 10             497
220710006061021 25             497
220710006061021 50             591
220710006061021 100            622
220710006061022 10             177
220710006061022 25             177
220710006061022 50             266
220710006061022 100            272
220710006061023 10             215
220710006061023 25             215
220710006061023 50             233
220710006061023 100            236
220710006061023 500            239
220710006061024 10             521
220710006061024 25             521
220710006061024 50             531
220710006061024 100            536
220710006061024 500            541
220710006062000 500            652
220710006062000 10             997
220710006062000 25             997
220710006062000 50             1062
220710006062000 100            1074
220710006062003 10             321
220710006062003 25             321
220710006062003 50             329
220710006062003 100            335
220710006062003 500            337
220710006062004 10             604
220710006062004 25             604
220710006062004 50             622
220710006062004 100            626
220710006062004 500            635
220710006062006 10             1212
220710006062006 25             1212
220710006062006 50             1233
220710006062006 100            1241
220710006062006 500            1253
220710006062007 10             213
220710006062007 25             213
220710006062007 50             216
220710006062007 100            218
220710006062007 500            220
220710006062010 10             556
220710006062010 25             556
220710006062010 50             569
220710006062010 100            574
220710006062010 500            581
220710006062011 10             367
220710006062011 25             367
220710006062011 50             380
220710006062011 100            382
220710006062011 500            388
220710006062012 10             1089
220710006062012 25             1089
220710006062012 50             1111
220710006062012 100            1118
220710006062012 500            1132
220710006062014 10             1051
220710006062014 25             1051
220710006062014 50             1073
220710006062014 100            1079
220710006062014 500            1092
220710006062018 10             292
220710006062018 25             292
220710006062018 50             296
220710006062018 100            297
220710006062018 500            301
220710006062019 10             566
220710006062019 25             566
220710006062019 50             574
220710006062019 100            577
220710006062019 500            584
220710006062020 10             490
220710006062020 25             490
220710006062020 50             500
220710006062020 100            502
220710006062020 500            507
220710006063000 10             194
220710006063000 25             194
220710006063000 50             216
220710006063000 100            221
220710006063001 10             3
220710006063001 25             3
220710006063001 100            4
220710006063001 50             4
220710006063002 10             817
220710006063002 25             817
220710006063002 50             878
220710006063002 100            898
220710006063004 10             817
220710006063004 25             817
220710006063004 50             908
220710006063004 100            919
220710006063005 10             274
220710006063005 25             274
220710006063005 50             315
220710006063005 100            336
220710006063006 10             660
220710006063006 25             660
220710006063006 50             728
220710006063006 100            736
220710006063007 10             16
220710006063007 100            16
